Manufactuer,Model,mpg,Transmission,Displacement,Carburetor,Axle Ratio
(CHRYS) PLYMOUTH,PLYMOUTH WAGON,8.1,A3,400,2 BARREL,3.23
(GM) CADILLAC,ELDORADO,8,A3,500,4 BARREL,3.07
FORD,MERCURY WAGON,7.9,A3,400,2 BARREL,3
FORD,LINCOLN,7.9,A3,460,4 BARREL,3
IHC,100 TALL (2WD),7.8,A3,391,4 BARREL,3.54
ROLLS - ROYCE,SILVER  SHADOW,7.8,A3,412,2 BARREL,3.07
(GM) BUICK,ELECTRA 225,7.6,A3,455,4 BARREL,2.73
(GM) OLDSMOBILE,98 REGENCY,7.6,A3,455,4 BARREL,2.73
(GM) OLDSMOBILE,DELTA 88 WAGON,7.6,A3,455,4 BARREL,3.23
IHC,200 TALL (4WD),7.5,A3,391,4 BARREL,3.54
FORD ,MONTEGO WAGON,7.2,A3,460,4 BARREL,3.25
(GM) CHEVROLET,C-20 SUBURBAN,7.2,A3,454,4 BARREL,3.73
IHC,100 TALL (2WD),7.2,A3,391,4 BARREL,3.73
(GM) CHEVROLET,C-20 SUBURBAN,7.1,A3,454,4 BARREL,4.1
(GM) OLDSMOBILE,DELTA 88 WAGON,7,A3,455,4 BARREL,3.23
(GM) OLDSMOBILE,TORONADO,6.8,A3,455,4 BARREL,3.07
